stimulus_presentation_id,area,temporal_frequency,orientation,active
3810,DG,4.0,180.0,0
3810,LGd,4.0,180.0,1
3810,LP,4.0,180.0,1
3810,POL,4.0,180.0,1
3810,ProS,4.0,180.0,1
3810,SUB,4.0,180.0,1
3810,VISal,4.0,180.0,1
3810,VISam,4.0,180.0,1
3810,VISl,4.0,180.0,0
3810,VISmma,4.0,180.0,0
3810,VISp,4.0,180.0,0
3810,VISrl,4.0,180.0,0
3811,APN,2.0,0.0,1
3811,CA1,2.0,0.0,1
3811,CA2,2.0,0.0,1
3811,CA3,2.0,0.0,1
3811,DG,2.0,0.0,0
3811,LGd,2.0,0.0,1
3811,LP,2.0,0.0,1
3811,POL,2.0,0.0,1
3811,ProS,2.0,0.0,1
3811,SUB,2.0,0.0,1
3811,VISal,2.0,0.0,0
3811,VISam,2.0,0.0,1
3811,VISl,2.0,0.0,0
3811,VISmma,2.0,0.0,1
3811,VISp,2.0,0.0,0
3811,VISrl,2.0,0.0,1
3812,APN,8.0,45.0,1
3812,CA1,8.0,45.0,1
3812,CA2,8.0,45.0,1
3812,CA3,8.0,45.0,1
3812,DG,8.0,45.0,0
3812,LGd,8.0,45.0,1
3812,LP,8.0,45.0,1
3812,POL,8.0,45.0,1
3812,ProS,8.0,45.0,1
3812,SUB,8.0,45.0,1
3812,VISal,8.0,45.0,0
3812,VISam,8.0,45.0,1
3812,VISl,8.0,45.0,0
3812,VISmma,8.0,45.0,0
3812,VISp,8.0,45.0,0
3812,VISrl,8.0,45.0,1
3813,APN,4.0,270.0,1
3813,CA1,4.0,270.0,1
3813,CA2,4.0,270.0,1
3813,CA3,4.0,270.0,1
3813,DG,4.0,270.0,0
3813,LGd,4.0,270.0,1
3813,LP,4.0,270.0,0
3813,POL,4.0,270.0,1
3813,ProS,4.0,270.0,1
3813,SUB,4.0,270.0,1
3813,VISal,4.0,270.0,1
3813,VISam,4.0,270.0,1
3813,VISl,4.0,270.0,0
3813,VISmma,4.0,270.0,0
3813,VISp,4.0,270.0,0
3813,VISrl,4.0,270.0,0
3814,APN,4.0,315.0,1
3814,CA1,4.0,315.0,1
3814,CA2,4.0,315.0,0
3814,CA3,4.0,315.0,1
3814,DG,4.0,315.0,0
3814,LGd,4.0,315.0,0
3814,LP,4.0,315.0,1
3814,POL,4.0,315.0,1
3814,ProS,4.0,315.0,1
3814,SUB,4.0,315.0,1
3814,VISal,4.0,315.0,0
3814,VISam,4.0,315.0,0
3814,VISl,4.0,315.0,0
3814,VISmma,4.0,315.0,1
3814,VISp,4.0,315.0,1
3814,VISrl,4.0,315.0,1
3815,APN,2.0,45.0,1
3815,CA1,2.0,45.0,1
3815,CA2,2.0,45.0,1
3815,CA3,2.0,45.0,1
3815,DG,2.0,45.0,0
3815,LGd,2.0,45.0,1
3815,LP,2.0,45.0,0
3815,POL,2.0,45.0,1
3815,ProS,2.0,45.0,1
3815,SUB,2.0,45.0,1
3815,VISal,2.0,45.0,0
3815,VISam,2.0,45.0,1
3815,VISl,2.0,45.0,0
3815,VISmma,2.0,45.0,1
3815,VISp,2.0,45.0,1
3815,VISrl,2.0,45.0,1
3817,APN,2.0,90.0,1
3817,CA1,2.0,90.0,1
3817,CA2,2.0,90.0,1
3817,CA3,2.0,90.0,1
3817,DG,2.0,90.0,0
3817,LGd,2.0,90.0,1
3817,LP,2.0,90.0,0
3817,POL,2.0,90.0,1
3817,ProS,2.0,90.0,1
3817,SUB,2.0,90.0,0
3817,VISal,2.0,90.0,0
3817,VISam,2.0,90.0,1
3817,VISl,2.0,90.0,0
3817,VISmma,2.0,90.0,1
